MEM_NUM,MEM_FNAME,MEM_LNAME,MEM_STREET,MEM_CITY,MEM_STATE,MEM_ZIP,MEM_BALANCE
102,Tami,Dawson,2632 Takli Circle,Norene,TN,37136,11
103,Curt,Knight,4025 Cornell Court,Flatgap,KY,41219,6
104,Jamal,Melendez,788 East 145th Avenue ,Quebeck,TN,38579,0
105,Iva,Mcclain,6045 Musket Ball Circle,Summit,KY,42783,15
106,Miranda,Parks,4469 Maxwell Place,Germantown,TN,38183,0
107,Rosario,Elliott,7578 Danner Avenue,Columbia,TN,38402,5
108,Mattie,Guy,4390 Evergreen Street,Lily,KY,40740,0
109,Clint,Ochoa,1711 Elm Street,Greeneville,TN,37745,10
110,Lewis,Rosales,4524 Southwind Circle,Counce,TN,38326,0
111,Stacy,Mann,2789 East Cook Avenue,Murfreesboro,TN,37132,8
112,Luis,Trujillo,7267 Melvin Avenue,Heiskell,TN,37754,3
113,Minnie,Gonzales,6430 Vasili Drive,Williston,TN,38076,0
